from_code,to_code,weight
AL0,AL0,1.0
AT1,AT1,1.0
AT2,AT2,1.0
AT3,AT3,1.0
BE1,BE1,1.0
BE2,BE2,1.0
BE3,BE3,1.0
BG3,BG3,1.0
BG4,BG4,1.0
CH0,CH0,1.0
CY0,CY0,1.0
CZ0,CZ0,1.0
DE1,DE1,1.0
DE2,DE2,1.0
DE3,DE3,1.0
DE4,DE4,1.0
DE5,DE5,1.0
DE6,DE6,1.0
DE7,DE7,1.0
DE8,DE8,1.0
DE9,DE9,1.0
DEA,DEA,1.0
DEB,DEB,1.0
DEC,DEC,1.0
DED,DED,1.0
DEE,DEE,1.0
DEF,DEF,1.0
DEG,DEG,1.0
DK0,DK0,1.0
EE0,EE0,1.0
EL3,EL3,1.0
EL4,EL4,1.0
EL5,EL5,1.0
EL6,EL6,1.0
ES1,ES1,1.0
ES2,ES2,1.0
ES3,ES3,1.0
ES4,ES4,1.0
ES5,ES5,1.0
ES6,ES6,1.0
ES7,ES7,1.0
FI1,FI1,1.0
FI2,FI2,1.0
FR1,FR1,1.0
FRB,FRB,1.0
FRC,FRC,1.0
FRD,FRD,1.0
FRE,FRE,1.0
FRF,FRF,1.0
FRG,FRG,1.0
FRH,FRH,1.0
FRI,FRI,1.0
FRJ,FRJ,1.0
FRK,FRK,1.0
FRL,FRL,1.0
FRM,FRM,1.0
FRY,FRY,1.0
HR0,HR0,1.0
HU1,HU1,1.0
HU2,HU2,1.0
HU3,HU3,1.0
IE0,IE0,1.0
IS0,IS0,1.0
ITC,ITC,1.0
ITF,ITF,1.0
ITG,ITG,1.0
ITH,ITH,1.0
ITI,ITI,1.0
LI0,LI0,1.0
LT0,LT0,1.0
LU0,LU0,1.0
LV0,LV0,1.0
ME0,ME0,1.0
MK0,MK0,1.0
MT0,MT0,1.0
NL1,NL1,1.0
NL2,NL2,1.0
NL3,NL3,1.0
NL4,NL4,1.0
NO0,NO0,1.0
PL2,PL2,1.0
PL4,PL4,1.0
PL5,PL5,1.0
PL6,PL6,1.0
PL7,PL7,1.0
PL8,PL8,1.0
PL9,PL9,1.0
PT1,PT1,1.0
PT2,PT2,1.0
PT3,PT3,1.0
RO1,RO1,1.0
RO2,RO2,1.0
RO3,RO3,1.0
RO4,RO4,1.0
RS1,RS1,1.0
RS2,RS2,1.0
SE1,SE1,1.0
SE2,SE2,1.0
SE3,SE3,1.0
SI0,SI0,1.0
SK0,SK0,1.0
TR1,TR1,1.0
TR2,TR2,1.0
TR3,TR3,1.0
TR4,TR4,1.0
TR5,TR5,1.0
TR6,TR6,1.0
TR7,TR7,1.0
TR8,TR8,1.0
TR9,TR9,1.0
TRA,TRA,1.0
TRB,TRB,1.0
TRC,TRC,1.0
UKC,UKC,1.0
UKD,UKD,1.0
UKE,UKE,1.0
UKF,UKF,1.0
UKG,UKG,1.0
UKH,UKH,1.0
UKI,UKI,1.0
UKJ,UKJ,1.0
UKK,UKK,1.0
UKL,UKL,1.0
UKM,UKM,1.0
UKN,UKN,1.0
