from_code,to_code,weight,method
AL011,AL011,1.0,composed
AL012,AL012,1.0,composed
AL013,AL013,1.0,composed
AL014,AL014,1.0,composed
AL015,AL015,1.0,composed
AL021,AL021,1.0,composed
AL022,AL022,1.0,composed
AL031,AL031,1.0,composed
AL032,AL032,1.0,composed
AL033,AL033,1.0,composed
AL034,AL034,1.0,composed
AL035,AL035,1.0,composed
AT111,AT111,1.0,composed
AT112,AT112,1.0,composed
AT113,AT113,1.0,composed
AT121,AT121,1.0,composed
AT122,AT122,1.0,composed
AT123,AT123,1.0,composed
AT124,AT124,1.0,composed
AT125,AT125,1.0,composed
AT126,AT126,1.0,composed
AT127,AT127,1.0,composed
AT130,AT130,1.0,composed
AT211,AT211,1.0,composed
AT212,AT212,1.0,composed
AT213,AT213,1.0,composed
AT221,AT221,1.0,composed
AT222,AT222,1.0,composed
AT223,AT223,1.0,composed
AT224,AT224,0.9937350982487873,composed
AT224,AT225,0.006264901751212694,composed
AT225,AT225,1.0,composed
AT226,AT226,1.0,composed
AT311,AT311,1.0,composed
AT312,AT312,1.0,composed
AT313,AT313,1.0,composed
AT314,AT314,1.0,composed
AT315,AT315,1.0,composed
AT321,AT321,1.0,composed
AT322,AT322,1.0,composed
AT323,AT323,1.0,composed
AT331,AT331,1.0,composed
AT332,AT332,1.0,composed
AT333,AT333,1.0,composed
AT334,AT334,1.0,composed
AT335,AT335,1.0,composed
AT341,AT341,1.0,composed
AT342,AT342,1.0,composed
BE100,BE100,1.0,composed
BE211,BE211,1.0,composed
BE212,BE212,1.0,composed
BE213,BE213,1.0,composed
BE221,BE224,0.9757696731295068,composed
BE221,BE225,0.024230326870493202,composed
BE222,BE225,1.0,composed
BE223,BE223,1.0,composed
BE231,BE231,1.0,composed
BE232,BE232,1.0,composed
BE233,BE233,1.0,composed
BE234,BE234,1.0,composed
BE235,BE235,1.0,composed
BE236,BE236,1.0,composed
BE241,BE241,1.0,composed
BE242,BE242,1.0,composed
BE251,BE251,1.0,composed
BE252,BE252,1.0,composed
BE253,BE253,1.0,composed
BE254,BE254,1.0,composed
BE255,BE255,1.0,composed
BE256,BE256,1.0,composed
BE257,BE257,1.0,composed
BE258,BE258,1.0,composed
BE310,BE310,1.0,composed
BE321,BE32A,1.0,composed
BE322,BE32B,0.9197795434380407,composed
