country_code,party_abbreviation,party_native,partyfacts_id_matched,pf_name_short,pf_name,pf_name_english,votes,resembles_source
GR,NEA DIMOKRATIA,NEA DIMOKRATIA,794.0,ND,Néa Đimokratía,New Democracy,4523072.0,False
GB,RUK,Reform UK,7364.0,BP,Brexit Party,Brexit Party,4117610.0,False
NO,H,Hoyre,503.0,H,Høyre,Conservative Party,3652199.0,False
DK,K,Konservative Folkeparti,53.0,KrF/KD,Kristeligt Folkeparti / Kristendemokraterne,Christian People's Party / Christian Democrats,2865078.0,False
IT,LEGA PER SALVINI PREMIER,LEGA PER SALVINI PREMIER,1221.0,LN,Lega Nord,North League,2392617.0,False
PT,PPD/PSD.CDS-PP,PPD/PSD.CDS-PP,5939.0,PàF,Portugal à Frente,Portugal Ahead,2018539.0,False
HU,"United for Hungary (Jobbik, MSZP, Dialogue, DK, LMP, Momentum)","United for Hungary (Jobbik, MSZP, Dialogue, DK, LMP, Momentum)",8249.0,MM,Momentum Mozgalom,Momentum Movement,1983708.0,False
PT,PPD/PSD.CDS-PP,,5939.0,PàF,Portugal à Frente,Portugal Ahead,1981459.0,False
SE,Arbetarepartiet-Socialdemokraterna,Arbetarepartiet-Socialdemokraterna,487.0,S,Socialdemokraterna / Sveriges socialdemokratiska arbetareparti,Social Democrats / Social Democratic Workers' Party of Sweden,1949997.0,False
BG,ГЕРБ-СДС,ГЕРБ-СДС,760.0,GERB,Grazhdani za evropeysko razvitie na Balgariya,Citizens for European Development of Bulgaria,1173631.0,False
ES,SUMAR,SUMAR,3203.0,PODEMOS,Podemos,We Can,1151113.0,False
DK,A,A. Socialdemokratiet,379.0,SD,Socialdemokraterne,Social Democrats,971995.0,False
NO,A,Arbeiderpartiet,448.0,DNA,Det norske Arbeiderparti,Norwegian Labour Party,902296.0,False
NO,Arbeiderpartiet,Arbeiderpartiet,448.0,DNA,Det norske Arbeiderparti,Norwegian Labour Party,783394.0,False
ES,PODEMOS-COMPROMIS-EUPV,,5623.0,CC,Coalició Compromís,Commitment Coalition,659771.0,False
BG,ВЪЗРАЖДАНЕ,ВЪЗРАЖДАНЕ,5862.0,V,Vazrazhdane,Revival,621381.0,False
PT,PCP-PEV,PCP-PEV,284.0,CDU,Coligação Democrática Unitária,Unitary Democratic Coalition,619913.0,False
ES,ECP-GUANYEM EL CANVI,,3203.0,PODEMOS,Podemos,We Can,549173.0,False
ES,SUMAR ANDALUCÍA,SUMAR ANDALUCÍA,3203.0,PODEMOS,Podemos,We Can,520826.0,False
PT,L,L,3225.0,L,"Livre — Liberdade, Esquerda, Europa e Ecologia",Livre,519514.0,False
BE,LES ENGAGÉS,LES ENGAGÉS,633.0,PSC — CDH,Parti Social Chrétien — Centre démocrate humaniste,Francophone Christian Social Party — Humanist Democratic Centre,472755.0,False
